Word,Valence
vicious,bad
cowardly,bad
selfish,bad
cruel,bad
rude,bad
manipulative,bad
virtuous,good
courageous,good
generous,good
compassionate,good
friendly,good
honest,good
door,neutral
choco,neutral
hungry,neutral
dark,neutral
man,neutral
cookies,neutral
hands,neutral
tried,neutral
lake,neutral
couch,neutral
running,neutral
widow,neutral
