"Features","WordPairs","FeatureMatch"
"Negative-Abstract-Negative-Abstract","unhappiness-worthless","MaxMatch"
"Negative-Abstract-Negative-Abstract","unhappiness-hate","MaxMatch"
"Negative-Abstract-Negative-Abstract","unhappiness-incurable","MaxMatch"
"Negative-Abstract-Negative-Abstract","worthless-hate","MaxMatch"
"Negative-Abstract-Negative-Abstract","worthless-incurable","MaxMatch"
"Negative-Abstract-Negative-Abstract","hate-incurable","MaxMatch"
"Negative-Concrete-Negative-Concrete","roach-feces","MaxMatch"
"Negative-Concrete-Negative-Concrete","roach-pimple","MaxMatch"
"Negative-Concrete-Negative-Concrete","roach-jail","MaxMatch"
"Negative-Concrete-Negative-Concrete","roach-casket","MaxMatch"
"Negative-Concrete-Negative-Concrete","roach-traffic","MaxMatch"
"Negative-Concrete-Negative-Concrete","roach-maggot","MaxMatch"
"Negative-Concrete-Negative-Concrete","roach-acne","MaxMatch"
"Negative-Concrete-Negative-Concrete","roach-puke","MaxMatch"
"Negative-Concrete-Negative-Concrete","roach-wart","MaxMatch"
"Negative-Concrete-Negative-Concrete","feces-pimple","MaxMatch"
"Negative-Concrete-Negative-Concrete","feces-jail","MaxMatch"
"Negative-Concrete-Negative-Concrete","feces-casket","MaxMatch"
"Negative-Concrete-Negative-Concrete","feces-traffic","MaxMatch"
"Negative-Concrete-Negative-Concrete","feces-maggot","MaxMatch"
"Negative-Concrete-Negative-Concrete","feces-acne","MaxMatch"
"Negative-Concrete-Negative-Concrete","feces-puke","MaxMatch"
"Negative-Concrete-Negative-Concrete","feces-wart","MaxMatch"
"Negative-Concrete-Negative-Concrete","pimple-jail","MaxMatch"
"Negative-Concrete-Negative-Concrete","pimple-casket","MaxMatch"
"Negative-Concrete-Negative-Concrete","pimple-traffic","MaxMatch"
"Negative-Concrete-Negative-Concrete","pimple-maggot","MaxMatch"
"Negative-Concrete-Negative-Concrete","pimple-acne","MaxMatch"
"Negative-Concrete-Negative-Concrete","pimple-puke","MaxMatch"
"Negative-Concrete-Negative-Concrete","pimple-wart","MaxMatch"
"Negative-Concrete-Negative-Concrete","jail-casket","MaxMatch"
"Negative-Concrete-Negative-Concrete","jail-traffic","MaxMatch"
"Negative-Concrete-Negative-Concrete","jail-maggot","MaxMatch"
"Negative-Concrete-Negative-Concrete","jail-acne","MaxMatch"
"Negative-Concrete-Negative-Concrete","jail-puke","MaxMatch"
"Negative-Concrete-Negative-Concrete","jail-wart","MaxMatch"
"Negative-Concrete-Negative-Concrete","casket-traffic","MaxMatch"
"Negative-Concrete-Negative-Concrete","casket-maggot","MaxMatch"
"Negative-Concrete-Negative-Concrete","casket-acne","MaxMatch"
"Negative-Concrete-Negative-Concrete","casket-puke","MaxMatch"
"Negative-Concrete-Negative-Concrete","casket-wart","MaxMatch"
"Negative-Concrete-Negative-Concrete","traffic-maggot","MaxMatch"
"Negative-Concrete-Negative-Concrete","traffic-acne","MaxMatch"
"Negative-Concrete-Negative-Concrete","traffic-puke","MaxMatch"
"Negative-Concrete-Negative-Concrete","traffic-wart","MaxMatch"
"Negative-Concrete-Negative-Concrete","maggot-acne","MaxMatch"
"Negative-Concrete-Negative-Concrete","maggot-puke","MaxMatch"
"Negative-Concrete-Negative-Concrete","maggot-wart","MaxMatch"
"Negative-Concrete-Negative-Concrete","acne-puke","MaxMatch"
"Negative-Concrete-Negative-Concrete","acne-wart","MaxMatch"
"Negative-Concrete-Negative-Concrete","puke-wart","MaxMatch"
"Positive-Concrete-Positive-Concrete","pizza-popcorn","MaxMatch"
"Positive-Concrete-Positive-Concrete","pizza-macaroni","MaxMatch"
"Positive-Concrete-Positive-Concrete","pizza-lollipop","MaxMatch"
"Positive-Concrete-Positive-Concrete","pizza-house","MaxMatch"
"Positive-Concrete-Positive-Concrete","pizza-doughnut","MaxMatch"
"Positive-Concrete-Positive-Concrete","pizza-duckling","MaxMatch"
"Positive-Concrete-Positive-Concrete","pizza-strawberry","MaxMatch"
"Positive-Concrete-Positive-Concrete","pizza-grape","MaxMatch"
"Positive-Concrete-Positive-Concrete","pizza-bunny","MaxMatch"
"Positive-Concrete-Positive-Concrete","popcorn-macaroni","MaxMatch"
"Positive-Concrete-Positive-Concrete","popcorn-lollipop","MaxMatch"
"Positive-Concrete-Positive-Concrete","popcorn-house","MaxMatch"
"Positive-Concrete-Positive-Concrete","popcorn-doughnut","MaxMatch"
"Positive-Concrete-Positive-Concrete","popcorn-duckling","MaxMatch"
"Positive-Concrete-Positive-Concrete","popcorn-strawberry","MaxMatch"
"Positive-Concrete-Positive-Concrete","popcorn-grape","MaxMatch"
"Positive-Concrete-Positive-Concrete","popcorn-bunny","MaxMatch"
"Positive-Concrete-Positive-Concrete","macaroni-lollipop","MaxMatch"
"Positive-Concrete-Positive-Concrete","macaroni-house","MaxMatch"
"Positive-Concrete-Positive-Concrete","macaroni-doughnut","MaxMatch"
"Positive-Concrete-Positive-Concrete","macaroni-duckling","MaxMatch"
"Positive-Concrete-Positive-Concrete","macaroni-strawberry","MaxMatch"
"Positive-Concrete-Positive-Concrete","macaroni-grape","MaxMatch"
"Positive-Concrete-Positive-Concrete","macaroni-bunny","MaxMatch"
"Positive-Concrete-Positive-Concrete","lollipop-house","MaxMatch"
"Positive-Concrete-Positive-Concrete","lollipop-doughnut","MaxMatch"
"Positive-Concrete-Positive-Concrete","lollipop-duckling","MaxMatch"
"Positive-Concrete-Positive-Concrete","lollipop-strawberry","MaxMatch"
"Positive-Concrete-Positive-Concrete","lollipop-grape","MaxMatch"
"Positive-Concrete-Positive-Concrete","lollipop-bunny","MaxMatch"
"Positive-Concrete-Positive-Concrete","house-doughnut","MaxMatch"
"Positive-Concrete-Positive-Concrete","house-duckling","MaxMatch"
"Positive-Concrete-Positive-Concrete","house-strawberry","MaxMatch"
"Positive-Concrete-Positive-Concrete","house-grape","MaxMatch"
"Positive-Concrete-Positive-Concrete","house-bunny","MaxMatch"
"Positive-Concrete-Positive-Concrete","doughnut-duckling","MaxMatch"
"Positive-Concrete-Positive-Concrete","doughnut-strawberry","MaxMatch"
"Positive-Concrete-Positive-Concrete","doughnut-grape","MaxMatch"
"Positive-Concrete-Positive-Concrete","doughnut-bunny","MaxMatch"
"Positive-Concrete-Positive-Concrete","duckling-strawberry","MaxMatch"
"Positive-Concrete-Positive-Concrete","duckling-grape","MaxMatch"
"Positive-Concrete-Positive-Concrete","duckling-bunny","MaxMatch"
"Positive-Concrete-Positive-Concrete","strawberry-grape","MaxMatch"
"Positive-Concrete-Positive-Concrete","strawberry-bunny","MaxMatch"
"Positive-Concrete-Positive-Concrete","grape-bunny","MaxMatch"
