"","Word","V.Mean.Sum","V.SD.Sum","Conc.M","Conc.SD","SUBTLWF","Valence","Concreteness","V_rank","Conc_rank","V_SD_rank","Conc_SD_rank","quality"
"1","unhappiness",1.89,1.24,1.52,0.78,1.16,"Negative","Abstract",1,0,1,1,3
"2","worthless",1.89,1.41,1.97,1.32,9.27,"Negative","Abstract",1,0.666666666666667,0.333333333333333,0.333333333333333,2.33333333333333
"3","hate",1.96,1.33,1.97,1.35,214.59,"Negative","Abstract",0,0.666666666666667,0.666666666666667,0,1.33333333333333
"4","incurable",1.9,1.61,1.88,1.13,1.02,"Negative","Abstract",0.333333333333333,0.333333333333333,0,0.666666666666667,1.33333333333333
"5","roach",2.19,1.17,4.96,0.2,2.65,"Negative","Concrete",0.827380952380952,0.970238095238095,0.910714285714286,0.970238095238095,3.67857142857143
"6","feces",2.23,1.31,4.96,0.19,0.75,"Negative","Concrete",0.803571428571429,0.970238095238095,0.839285714285714,0.988095238095238,3.60119047619048
"7","pimple",2.11,1.24,4.77,0.62,1.67,"Negative","Concrete",0.863095238095238,0.863095238095238,0.875,0.821428571428571,3.42261904761905
"8","jail",1.91,1.44,4.83,0.38,70.63,"Negative","Concrete",0.94047619047619,0.869047619047619,0.660714285714286,0.922619047619048,3.39285714285714
"9","casket",2.42,1.22,4.86,0.45,3.18,"Negative","Concrete",0.672619047619048,0.910714285714286,0.892857142857143,0.898809523809524,3.375
"10","traffic",2.18,1.05,4.67,0.62,28.51,"Negative","Concrete",0.839285714285714,0.767857142857143,0.946428571428571,0.821428571428571,3.375
"11","maggot",2,1.59,4.97,0.18,1.59,"Negative","Concrete",0.922619047619048,0.994047619047619,0.446428571428571,0.994047619047619,3.35714285714286
"12","acne",2.18,1.47,4.89,0.32,0.9,"Negative","Concrete",0.839285714285714,0.928571428571429,0.625,0.94047619047619,3.33333333333333
"13","puke",1.84,1.01,4.59,0.84,6.25,"Negative","Concrete",0.964285714285714,0.678571428571429,0.958333333333333,0.660714285714286,3.26190476190476
"14","wart",2.67,1.15,4.89,0.31,1.24,"Negative","Concrete",0.464285714285714,0.928571428571429,0.916666666666667,0.946428571428571,3.25595238095238
"15","pizza",7.89,1.29,5,0,33.51,"Positive","Concrete",0.992502343017807,0.9456419868791,0.927835051546392,1,3.8659793814433
"16","popcorn",7.26,1.33,5,0,9.12,"Positive","Concrete",0.903467666354264,0.9456419868791,0.901593252108716,1,3.75070290534208
"17","macaroni",7.75,1.37,4.97,0.19,3.25,"Positive","Concrete",0.985004686035614,0.925960637300843,0.874414245548266,0.936269915651359,3.72164948453608
"18","lollipop",7.29,1.06,4.96,0.2,1.78,"Positive","Concrete",0.911902530459232,0.900656044985942,0.98875351452671,0.903467666354264,3.70477975632615
"19","house",7.19,1.4,5,0,514,"Positive","Concrete",0.878163074039363,0.9456419868791,0.852858481724461,1,3.67666354264292
"20","doughnut",7.5,1.41,4.96,0.2,4.22,"Positive","Concrete",0.951265229615745,0.900656044985942,0.842549203373946,0.903467666354264,3.5979381443299
"21","duckling",7.18,1.18,4.93,0.26,0.76,"Positive","Concrete",0.873477038425492,0.854732895970009,0.968134957825679,0.895970009372071,3.59231490159325
"22","strawberry",7.25,1.52,5,0,5.53,"Positive","Concrete",0.89784442361762,0.9456419868791,0.726335520149953,1,3.56982193064667
"23","grape",6.7,1.22,5,0,4,"Positive","Concrete",0.638238050609185,0.9456419868791,0.957825679475164,1,3.54170571696345
"24","bunny",7.3,1.49,4.97,0.19,18.55,"Positive","Concrete",0.916588566073102,0.925960637300843,0.76194939081537,0.936269915651359,3.54076850984067
